Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
17:41:45	-4	17:41:45	-19.99	17:41:45	-97.1	17:42:20	95
17:41:46	-4	17:41:46	-20	17:41:46	-97.1	17:42:21	88
17:41:47	-4	17:41:47	-20	17:41:47	-97.1	17:42:22	82
17:41:48	-4	17:41:48	-19.99	17:41:48	-97.1	17:42:23	75
17:41:49	-4	17:41:49	-19.95	17:41:49	-97.2	17:42:24	68
17:41:50	-4	17:41:50	-19.89	17:41:50	-97.2	17:42:25	61
17:41:51	-4	17:41:51	-19.78	17:41:51	-97.2	17:42:26	55
17:41:52	-4	17:41:52	-19.61	17:41:52	-97.2	17:42:27	47
17:41:53	-4	17:41:53	-19.4	17:41:53	-97.2	17:42:28	40
17:41:54	-4	17:41:54	-19.12	17:41:54	-97.2	17:42:29	33
17:41:55	-4	17:41:55	-18.81	17:41:55	-97.2	17:42:30	26
17:41:56	-4	17:41:56	-18.48	17:41:56	-97.2	17:42:31	19
17:41:57	-4	17:41:57	-18.14	17:41:57	-97.2	17:42:32	13
17:41:58	-4	17:41:58	-17.83	17:41:58	-97.2	17:42:33	8
17:41:59	-4	17:41:59	-17.44	17:41:59	-97.2	17:42:34	2
17:42:00	-4	17:42:00	-17.05	17:42:00	-97.2	17:42:36	-4
17:42:01	-4	17:42:01	-16.64	17:42:01	-97.2	17:42:37	-9
17:42:02	-4	17:42:02	-16.22	17:42:02	-97.2	17:42:38	-13
17:42:03	-4	17:42:03	-15.76	17:42:03	-97.2	17:42:39	-17
17:42:04	-4	17:42:04	-15.36	17:42:04	-97.2	17:42:40	-21
17:42:05	-4	17:42:05	-14.99	17:42:05	-97.1	17:42:41	-24
17:42:06	-4	17:42:06	-14.53	17:42:06	-97.2	17:42:42	-27
17:42:07	-4	17:42:07	-14.1	17:42:07	-97.2	17:42:43	-30
17:42:08	-4	17:42:08	-13.71	17:42:08	-97.1	17:42:44	-32
17:42:09	-4	17:42:09	-13.27	17:42:09	-97.2	17:42:45	-35
17:42:10	-4	17:42:10	-12.84	17:42:10	-97.2	17:42:46	-36
17:42:11	-4	17:42:11	-12.43	17:42:11	-97.2	17:42:47	-38
17:42:12	-4	17:42:12	-12.01	17:42:12	-97.2	17:42:48	-10
17:42:13	-4	17:42:13	-11.58	17:42:13	-97.2	17:42:49	-10
17:42:14	-4	17:42:14	-11.19	17:42:14	-97.1	17:42:50	-10
17:42:15	-4	17:42:15	-10.78	17:42:15	-97.1	17:42:51	-10
17:42:16	-4	17:42:16	-10.33	17:42:16	-97.2	17:42:52	-10
17:42:17	-4	17:42:17	-9.96	17:42:17	-97.1	17:42:53	-10
17:42:18	-4	17:42:18	-9.55	17:42:18	-97.1	17:42:54	-10
17:42:19	-4	17:42:19	-9.13	17:42:19	-97.1	17:42:55	-10
17:42:20	-4	17:42:20	-8.7	17:42:20	-97.2	17:42:56	-10
17:42:21	-4	17:42:21	-8.3	17:42:21	-97.2	17:42:57	-10
17:42:22	-4	17:42:22	-7.91	17:42:22	-97.2	17:42:58	-10
17:42:23	-4	17:42:23	-7.54	17:42:23	-97.1	17:42:59	-10
17:42:24	-4	17:42:24	-7.11	17:42:24	-97.1	17:43:00	-10
17:42:25	-4	17:42:25	-6.72	17:42:25	-97.1	17:43:01	-10
17:42:26	-4	17:42:26	-6.33	17:42:26	-97.2	17:43:02	-10
17:42:27	-4	17:42:27	-5.93	17:42:27	-97.2	17:43:03	-10
17:42:28	-4	17:42:28	-5.54	17:42:28	-97.2	17:43:04	-10
17:42:29	-4	17:42:29	-5.15	17:42:29	-97.2	17:43:05	-10
17:42:30	-4	17:42:30	-4.81	17:42:30	-97.2	17:43:06	-10
17:42:31	-4	17:42:31	-4.44	17:42:31	-97.2	17:43:07	-10
17:42:32	-4	17:42:32	-4.11	17:42:32	-97.2	17:43:08	-10
17:42:33	-4	17:42:33	-3.87	17:42:33	-97.2	17:43:09	-10
17:42:34	-4	17:42:34	-3.58	17:42:34	-97.2	17:43:10	-10
17:42:36	-4	17:42:36	-3.29	17:42:36	-97.2	17:43:11	-10
17:42:37	-4	17:42:37	-3.06	17:42:37	-97.2	17:43:12	-10
17:42:38	-4	17:42:38	-2.87	17:42:38	-97.2	17:43:13	-10
17:42:39	-4	17:42:39	-2.68	17:42:39	-97.2	17:43:14	-10
17:42:40	-4	17:42:40	-2.51	17:42:40	-97.2	17:43:15	-10
17:42:41	-4	17:42:41	-2.38	17:42:41	-97.2	17:43:16	-10
17:42:42	-4	17:42:42	-2.25	17:42:42	-97.2	17:43:17	-10
17:42:43	-4	17:42:43	-2.15	17:42:43	-97.2	17:43:18	-10
17:42:44	-4	17:42:44	-2.06	17:42:44	-97.2	17:43:19	-10
17:42:45	-4	17:42:45	-1.98	17:42:45	-97.2	17:43:20	-10
17:42:46	-4	17:42:46	-1.92	17:42:46	-97.2	17:43:21	-10
17:42:47	-4	17:42:47	-1.87	17:42:47	-97.2	17:43:22	-10
17:42:48	-4	17:42:48	-1.83	17:42:48	-97.1	17:43:23	-10
17:42:49	-4	17:42:49	-1.8	17:42:49	-97.2	17:43:24	-10
17:42:50	-4	17:42:50	-1.78	17:42:50	-97.2	17:43:25	-10
17:42:51	-4	17:42:51	-1.76	17:42:51	-97.2	17:43:26	-10
17:42:52	-4	17:42:52	-1.75	17:42:52	-97.2	17:43:27	-10
17:42:53	-4	17:42:53	-1.74	17:42:53	-97.2	17:43:28	-10
17:42:54	-4	17:42:54	-1.73	17:42:54	-97.2	17:43:29	-10
17:42:55	-4	17:42:55	-1.72	17:42:55	-97.2	17:43:30	-10
17:42:56	-4	17:42:56	-1.71	17:42:56	-97.2	17:43:31	-10
17:42:57	-4	17:42:57	-1.69	17:42:57	-97.2	17:43:32	-10
17:42:58	-4	17:42:58	-1.68	17:42:58	-97.2	17:43:33	-10
17:42:59	-4	17:42:59	-1.67	17:42:59	-97.2	17:43:34	-10
17:43:00	-4	17:43:00	-1.65	17:43:00	-97.2	17:43:35	-10
17:43:01	-4	17:43:01	-1.63	17:43:01	-97.2	17:43:36	-10
17:43:02	-4	17:43:02	-1.62	17:43:02	-97.2	17:43:37	-10
17:43:03	-4	17:43:03	-1.59	17:43:03	-97.2	17:43:38	-10
17:43:04	-4	17:43:04	-1.57	17:43:04	-97.2	17:43:39	-10
17:43:05	-4	17:43:05	-1.56	17:43:05	-97.2	17:43:40	-10
17:43:06	-4	17:43:06	-1.54	17:43:06	-97.2	17:43:41	-10
17:43:07	-4	17:43:07	-1.51	17:43:07	-97.2	17:43:42	-10
17:43:08	-4	17:43:08	-1.49	17:43:08	-97.2	17:43:43	-10
17:43:09	-4	17:43:09	-1.47	17:43:09	-97.2	17:43:44	-10
17:43:10	-4	17:43:10	-1.45	17:43:10	-97.1	17:43:45	-10
17:43:11	-4	17:43:11	-1.43	17:43:11	-97.2	17:43:46	-10
17:43:12	-4	17:43:12	-1.41	17:43:12	-97.2	17:43:47	-10
17:43:13	-4	17:43:13	-1.39	17:43:13	-97.2	17:43:48	-10
17:43:14	-4	17:43:14	-1.36	17:43:14	-97.2	17:43:49	-10
17:43:15	-4	17:43:15	-1.34	17:43:15	-97.2	17:43:50	-10
17:43:16	-4	17:43:16	-1.32	17:43:16	-97.2	17:43:51	-10
17:43:17	-4	17:43:17	-1.3	17:43:17	-97.2	17:43:52	-10
17:43:18	-4	17:43:18	-1.28	17:43:18	-97.2	17:43:53	-10
17:43:19	-4	17:43:19	-1.26	17:43:19	-97.2	17:43:54	-10
17:43:20	-4	17:43:20	-1.24	17:43:20	-97.2	17:43:55	-10
17:43:21	-4	17:43:21	-1.21	17:43:21	-97.2	17:43:56	-10
17:43:22	-4	17:43:22	-1.19	17:43:22	-97.2	17:43:57	-10
17:43:23	-4	17:43:23	-1.17	17:43:23	-97.2	17:43:58	-10
17:43:24	-4	17:43:24	-1.14	17:43:24	-97.2	17:43:59	-10
17:43:25	-4	17:43:25	-1.13	17:43:25	-97.2	17:44:00	-10
17:43:26	-4	17:43:26	-1.1	17:43:26	-97.2	17:44:01	-10
17:43:27	-4	17:43:27	-1.08	17:43:27	-97.2	17:44:02	-10
17:43:28	-4	17:43:28	-1.06	17:43:28	-97.2	17:44:03	-10
17:43:29	-4	17:43:29	-1.03	17:43:29	-97.1	17:44:04	-10
17:43:30	-4	17:43:30	-1	17:43:30	-97.1	17:44:05	-10
17:43:31	-4	17:43:31	-0.98	17:43:31	-97.1	17:44:06	-10
17:43:32	-4	17:43:32	-0.96	17:43:32	-97	17:44:07	-10
17:43:33	-4	17:43:33	-0.94	17:43:33	-97.2	17:44:08	-10
17:43:34	-4	17:43:34	-0.92	17:43:34	-97.2	17:44:09	-10
17:43:35	-4	17:43:35	-0.88	17:43:35	-97	17:44:10	-10
17:43:36	-4	17:43:36	-0.86	17:43:36	-97	17:44:12	-10
17:43:37	-4	17:43:37	-0.84	17:43:37	-97.1	17:44:13	-10
