Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
21:09:50	-4	21:09:50	-20	21:09:50	-97.2	21:10:24	95
21:09:51	-4	21:09:51	-20	21:09:51	-97.2	21:10:25	90
21:09:52	-4	21:09:52	-19.99	21:09:52	-97.2	21:10:26	83
21:09:53	-4	21:09:53	-19.95	21:09:53	-97.2	21:10:27	76
21:09:54	-4	21:09:54	-19.88	21:09:54	-97.2	21:10:28	70
21:09:55	-4	21:09:55	-19.76	21:09:55	-97.2	21:10:29	63
21:09:56	-4	21:09:56	-19.59	21:09:56	-97.2	21:10:30	55
21:09:57	-4	21:09:57	-19.37	21:09:57	-97.2	21:10:31	49
21:09:58	-4	21:09:58	-19.13	21:09:58	-97.2	21:10:32	41
21:09:59	-4	21:09:59	-18.79	21:09:59	-97.2	21:10:33	34
21:10:00	-4	21:10:00	-18.46	21:10:00	-97.2	21:10:34	27
21:10:01	-4	21:10:01	-18.12	21:10:01	-97.2	21:10:35	22
21:10:02	-4	21:10:02	-17.81	21:10:02	-97.2	21:10:36	15
21:10:03	-4	21:10:03	-17.44	21:10:03	-97.2	21:10:37	10
21:10:04	-4	21:10:04	-17.05	21:10:04	-97.2	21:10:38	4
21:10:05	-4	21:10:05	-16.63	21:10:05	-97.2	21:10:39	-1
21:10:06	-4	21:10:06	-16.21	21:10:06	-97.2	21:10:40	-7
21:10:07	-4	21:10:07	-15.78	21:10:07	-97.2	21:10:41	-11
21:10:08	-4	21:10:08	-15.42	21:10:08	-97.2	21:10:42	-16
21:10:09	-4	21:10:09	-15	21:10:09	-97.2	21:10:43	-19
21:10:10	-4	21:10:10	-14.57	21:10:10	-97.2	21:10:44	-22
21:10:11	-4	21:10:11	-14.25	21:10:11	-97.2	21:10:45	-10
21:10:12	-4	21:10:12	-13.68	21:10:12	-97.2	21:10:46	-10
21:10:13	-4	21:10:13	-13.29	21:10:13	-97.2	21:10:47	-10
21:10:14	-4	21:10:14	-12.8	21:10:14	-97.2	21:10:48	-10
21:10:15	-4	21:10:15	-12.44	21:10:15	-97.2	21:10:49	-10
21:10:16	-4	21:10:16	-12.01	21:10:16	-97.2	21:10:50	-10
21:10:17	-4	21:10:17	-11.6	21:10:17	-97.2	21:10:52	-10
21:10:18	-4	21:10:18	-11.2	21:10:18	-97.2	21:10:53	-10
21:10:19	-4	21:10:19	-10.76	21:10:19	-97.2	21:10:54	-10
21:10:20	-4	21:10:20	-10.36	21:10:20	-97.2	21:10:55	-10
21:10:21	-4	21:10:21	-9.98	21:10:21	-97.2	21:10:56	-10
21:10:22	-4	21:10:22	-9.55	21:10:22	-97.2	21:10:57	-10
21:10:23	-4	21:10:23	-9.16	21:10:23	-97.2	21:10:58	-10
21:10:24	-4	21:10:24	-8.71	21:10:24	-97.2	21:10:59	-10
21:10:25	-4	21:10:25	-8.36	21:10:25	-97.2	21:11:00	-10
21:10:26	-4	21:10:26	-7.97	21:10:26	-97.2	21:11:01	-10
21:10:27	-4	21:10:27	-7.55	21:10:27	-97.2	21:11:02	-10
21:10:28	-4	21:10:28	-7.18	21:10:28	-97.2	21:11:03	-10
21:10:29	-4	21:10:29	-6.77	21:10:29	-97.2	21:11:04	-10
21:10:30	-4	21:10:30	-6.36	21:10:30	-97.2	21:11:05	-10
21:10:31	-4	21:10:31	-6	21:10:31	-97.2	21:11:06	-10
21:10:32	-4	21:10:32	-5.61	21:10:32	-97.2	21:11:07	-10
21:10:33	-4	21:10:33	-5.22	21:10:33	-97.2	21:11:08	-10
21:10:34	-4	21:10:34	-4.86	21:10:34	-97.2	21:11:09	-10
21:10:35	-4	21:10:35	-4.57	21:10:35	-97.2	21:11:10	-10
21:10:36	-4	21:10:36	-4.25	21:10:36	-97.2	21:11:11	-10
21:10:37	-4	21:10:37	-3.97	21:10:37	-97.2	21:11:12	-10
21:10:38	-4	21:10:38	-3.67	21:10:38	-97.2	21:11:13	-10
21:10:39	-4	21:10:39	-3.43	21:10:39	-97.2	21:11:14	-10
21:10:40	-4	21:10:40	-3.17	21:10:40	-97.2	21:11:15	-10
21:10:41	-4	21:10:41	-2.96	21:10:41	-97.2	21:11:16	-10
21:10:42	-4	21:10:42	-2.76	21:10:42	-97.2	21:11:17	-10
21:10:43	-4	21:10:43	-2.62	21:10:43	-97.2	21:11:18	-10
21:10:44	-4	21:10:44	-2.49	21:10:44	-97.2	21:11:19	-10
21:10:45	-4	21:10:45	-2.33	21:10:45	-97.2	21:11:20	-10
21:10:46	-4	21:10:46	-2.23	21:10:46	-97.1	21:11:21	-10
21:10:47	-4	21:10:47	-2.14	21:10:47	-97.1	21:11:22	-10
