Time_s,Time_min,Temperature_C,StdDev_C
1.00,0.0167,-20.0025,0.0097
2.00,0.0333,-19.9925,0.0211
3.00,0.0500,-19.9688,0.0443
4.00,0.0667,-19.9150,0.0826
5.00,0.0833,-19.8263,0.1287
6.00,0.1000,-19.6925,0.1756
7.00,0.1167,-19.5050,0.2075
8.00,0.1333,-19.2687,0.2472
9.00,0.1500,-18.9750,0.2980
10.00,0.1667,-18.6675,0.3077
11.00,0.1833,-18.3694,0.3088
12.00,0.2000,-18.0425,0.3415
13.00,0.2167,-17.6988,0.3545
14.00,0.2333,-17.3037,0.3679
15.00,0.2500,-16.9381,0.3450
16.00,0.2667,-16.5575,0.3381
17.00,0.2833,-16.1487,0.3465
18.00,0.3000,-15.7237,0.3340
19.00,0.3167,-15.3225,0.3240
20.00,0.3333,-14.9100,0.3534
21.00,0.3500,-14.5050,0.3636
22.00,0.3667,-14.1013,0.3988
23.00,0.3833,-13.7037,0.4514
24.00,0.4000,-13.2975,0.5037
25.00,0.4167,-12.9400,0.5470
26.00,0.4333,-12.5675,0.6594
27.00,0.4500,-12.1962,0.7722
28.00,0.4667,-11.8375,0.8817
29.00,0.4833,-11.4750,1.0021
30.00,0.5000,-11.1075,1.1280
31.00,0.5167,-10.7525,1.2636
32.00,0.5333,-10.4312,1.3748
33.00,0.5500,-10.0949,1.4980
34.00,0.5667,-9.7435,1.6288
35.00,0.5833,-9.3810,1.7632
36.00,0.6000,-9.0421,1.8872
37.00,0.6167,-8.6821,2.0211
38.00,0.6333,-8.3295,2.1565
39.00,0.6500,-7.9794,2.2878
40.00,0.6667,-7.6544,2.4094
41.00,0.6833,-7.3093,2.5376
42.00,0.7000,-6.9855,2.6580
43.00,0.7167,-6.6691,2.7774
44.00,0.7333,-6.3491,2.8968
45.00,0.7500,-6.0490,3.0086
46.00,0.7667,-5.7527,3.1186
47.00,0.7833,-5.4876,3.2187
48.00,0.8000,-5.2494,3.3065
49.00,0.8167,-5.0225,3.3919
50.00,0.8333,-4.8280,3.4636
51.00,0.8500,-4.6261,3.5382
52.00,0.8667,-4.4410,3.6073
53.00,0.8833,-4.2722,3.6697
54.00,0.9000,-4.1184,3.7271
55.00,0.9167,-3.9945,3.7731
56.00,0.9333,-3.8732,3.8185
57.00,0.9500,-3.7694,3.8569
58.00,0.9667,-3.6893,3.8868
59.00,0.9833,-3.6155,3.9141
