# sloughing=True,sloughing_time=148.44358594263787
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,2.840000000000000076e-03,1.141789036193722844e-02,0.000000000000000000e+00
7.036875195786597599e-04,2.839998302225358717e-03,1.141788392393429732e-02,0.000000000000000000e+00
1.001347340360432936e+00,2.837584593504263730e-03,1.140873097556362008e-02,0.000000000000000000e+00
2.001990993201287150e+00,2.835171937859913473e-03,1.139958180899261660e-02,0.000000000000000000e+00
3.002634646042141142e+00,2.832760335563347647e-03,1.139043642551875422e-02,0.000000000000000000e+00
4.003278298882995578e+00,2.830349786885682280e-03,1.138129482643978306e-02,0.000000000000000000e+00
5.003921951723849126e+00,2.827940292098067229e-03,1.137215701305357984e-02,0.000000000000000000e+00
6.004565604564703563e+00,2.825531851471703524e-03,1.136302298665819652e-02,0.000000000000000000e+00
7.005209257405557999e+00,2.823124465277870691e-03,1.135389274855199207e-02,0.000000000000000000e+00
8.005852910246412435e+00,2.820718133787885121e-03,1.134476630003344519e-02,0.000000000000000000e+00
9.006496563087265983e+00,2.818312857273133024e-03,1.133564364240129477e-02,0.000000000000000000e+00
1.000714021592812131e+01,2.815908636005045717e-03,1.132652477695444623e-02,0.000000000000000000e+00
1.100778386876897486e+01,2.813505470255109157e-03,1.131740970499200451e-02,0.000000000000000000e+00
1.200842752160982840e+01,2.811103360294852672e-03,1.130829842781322370e-02,0.000000000000000000e+00
1.300907117445068373e+01,2.808702306395882784e-03,1.129919094671765108e-02,0.000000000000000000e+00
1.400971482729153728e+01,2.806302308829847648e-03,1.129008726300498137e-02,0.000000000000000000e+00
1.501035848013239082e+01,2.803903367868457869e-03,1.128098737797513136e-02,0.000000000000000000e+00
1.601100213297324615e+01,2.801505483783444869e-03,1.127189129292810281e-02,0.000000000000000000e+00
1.701164578581409970e+01,2.799108656846625073e-03,1.126279900916420454e-02,0.000000000000000000e+00
1.801228943865495324e+01,2.796712887329850898e-03,1.125371052798386506e-02,0.000000000000000000e+00
1.901293309149580679e+01,2.794318175505053695e-03,1.124462585068781648e-02,0.000000000000000000e+00
2.001357674433666389e+01,2.791924521644176087e-03,1.123554497857681862e-02,0.000000000000000000e+00
2.101422039717751744e+01,2.789531926019232257e-03,1.122646791295189850e-02,0.000000000000000000e+00
2.201486405001837099e+01,2.787140388902299704e-03,1.121739465511430514e-02,0.000000000000000000e+00
2.301550770285922454e+01,2.784749910565484116e-03,1.120832520636539688e-02,0.000000000000000000e+00
2.401615135570007808e+01,2.782360491280957970e-03,1.119925956800676969e-02,0.000000000000000000e+00
2.501679500854093163e+01,2.779972131320922798e-03,1.119019774134012365e-02,0.000000000000000000e+00
2.601743866138178873e+01,2.777584830957646050e-03,1.118113972766739822e-02,0.000000000000000000e+00
2.701808231422264228e+01,2.775198590463448089e-03,1.117208552829072714e-02,0.000000000000000000e+00
2.801872596706349583e+01,2.772813410110691774e-03,1.116303514451238814e-02,0.000000000000000000e+00
2.901936961990434938e+01,2.770429290171781168e-03,1.115398857763480987e-02,0.000000000000000000e+00
3.002001327274520293e+01,2.768046230919188853e-03,1.114494582896068814e-02,0.000000000000000000e+00
3.102065692558605647e+01,2.765664232625413867e-03,1.113590689979277598e-02,0.000000000000000000e+00
3.202130057842691002e+01,2.763283295563004685e-03,1.112687179143403114e-02,0.000000000000000000e+00
3.302194423126776712e+01,2.760903420004583511e-03,1.111784050518767157e-02,0.000000000000000000e+00
3.402258788410862422e+01,2.758524606222785558e-03,1.110881304235695685e-02,0.000000000000000000e+00
3.502323153694947422e+01,2.756146854490306320e-03,1.109978940424535647e-02,0.000000000000000000e+00
3.602387518979033132e+01,2.753770165079895936e-03,1.109076959215655502e-02,0.000000000000000000e+00
3.702451884263118131e+01,2.751394538264338805e-03,1.108175360739434290e-02,0.000000000000000000e+00
3.802516249547203842e+01,2.749019974316461827e-03,1.107274145126266492e-02,0.000000000000000000e+00
3.902580614831288841e+01,2.746646473509160424e-03,1.106373312506570873e-02,0.000000000000000000e+00
4.002644980115374551e+01,2.744274036115349532e-03,1.105472863010774354e-02,0.000000000000000000e+00
4.102709345399460261e+01,2.741902662407988758e-03,1.104572796769317557e-02,0.000000000000000000e+00
4.202773710683545261e+01,2.739532352660111868e-03,1.103673113912670076e-02,0.000000000000000000e+00
4.302838075967630971e+01,2.737163107144758266e-03,1.102773814571300984e-02,0.000000000000000000e+00
4.402902441251715970e+01,2.734794926135028503e-03,1.101874898875702773e-02,0.000000000000000000e+00
4.502966806535801680e+01,2.732427809904081246e-03,1.100976366956387884e-02,0.000000000000000000e+00
4.603031171819887390e+01,2.730061758725097279e-03,1.100078218943876911e-02,0.000000000000000000e+00
4.703095537103972390e+01,2.727696772871292513e-03,1.099180454968701377e-02,0.000000000000000000e+00
4.803159902388058100e+01,2.725332852615948345e-03,1.098283075161418133e-02,0.000000000000000000e+00
4.903224267672143100e+01,2.722969998232376530e-03,1.097386079652593396e-02,0.000000000000000000e+00
5.003288632956228810e+01,2.720608209993918315e-03,1.096489468572803098e-02,0.000000000000000000e+00
5.103352998240314520e+01,2.718247488173983466e-03,1.095593242052649019e-02,0.000000000000000000e+00
