# sloughing=True,sloughing_time=156.79207643995113
time_s,h_total_m,h_crit_m
0.000000000000000000e+00,3.139999999999998695e-03,9.097030382631342282e-03
7.191043599737253393e-04,3.139997673011417269e-03,9.097024079805561894e-03
1.000993269083425563e+00,3.136761763909521640e-03,9.088259276749267174e-03
2.001267433806877438e+00,3.133527717827722277e-03,9.079499326509801391e-03
3.001541598530329757e+00,3.130295535250587294e-03,9.070744230727428858e-03
4.001815763253781633e+00,3.127065216662471437e-03,9.061993991041777247e-03
5.002089927977233508e+00,3.123836762547601512e-03,9.053248609092087382e-03
6.002364092700685383e+00,3.120610173390010039e-03,9.044508086517015488e-03
7.002638257424137258e+00,3.117385449673585121e-03,9.035772424954768497e-03
8.002912422147590021e+00,3.114162591882016235e-03,9.027041626042942718e-03
9.003186586871041897e+00,3.110941600498844974e-03,9.018315691418704247e-03
1.000346075159449377e+01,3.107722476007430783e-03,9.009594622718665805e-03
1.100373491631794565e+01,3.104505218890958335e-03,9.000878421578890204e-03
1.200400908104139752e+01,3.101289829632423653e-03,8.992167089634897290e-03
1.300428324576484940e+01,3.098076308714664898e-03,8.983460628521689958e-03
1.400455741048830127e+01,3.094864656620310329e-03,8.974759039873684771e-03
1.500483157521175315e+01,3.091654873831837288e-03,8.966062325324807361e-03
1.600510573993520325e+01,3.088446960831535762e-03,8.957370486508417842e-03
1.700537990465865690e+01,3.085240918101481069e-03,8.948683525057237950e-03
1.800565406938210700e+01,3.082036746123574620e-03,8.940001442603481147e-03
1.900592823410556065e+01,3.078834445379526573e-03,8.931324240778752005e-03
2.000620239882901430e+01,3.075634016350877516e-03,8.922651921214155499e-03
2.100647656355246440e+01,3.072435459518937755e-03,8.913984485540116590e-03
2.200675072827591805e+01,3.069238775364842818e-03,8.905321935386510332e-03
2.300702489299936815e+01,3.066043964369537852e-03,8.896664272382663607e-03
2.400729905772282180e+01,3.062851027013756364e-03,8.888011498157240634e-03
2.500757322244627190e+01,3.059659963778038876e-03,8.879363614338336638e-03
2.600784738716972555e+01,3.056470775142713404e-03,8.870720622553418880e-03
2.700812155189317565e+01,3.053283461587899365e-03,8.862082524429314503e-03
2.800839571661662930e+01,3.050098023593528825e-03,8.853449321592299012e-03
2.900866988134007940e+01,3.046914461639321347e-03,8.844821015667990449e-03
3.000894404606353305e+01,3.043732776204778785e-03,8.836197608281370214e-03
3.100921821078698315e+01,3.040552967769190058e-03,8.827579101056779592e-03
3.200949237551043325e+01,3.037375036811635915e-03,8.818965495617926698e-03
3.300976654023389045e+01,3.034198983810983304e-03,8.810356793587896876e-03
3.401004070495734055e+01,3.031024809245880160e-03,8.801752996589093728e-03
3.501031486968079065e+01,3.027852513594751944e-03,8.793154106243277271e-03
3.601058903440424075e+01,3.024682097335800769e-03,8.784560124171527512e-03
3.701086319912769795e+01,3.021513560947011907e-03,8.775971051994280875e-03
3.801113736385114805e+01,3.018346904906134710e-03,8.767386891331272955e-03
3.901141152857459815e+01,3.015182129690711661e-03,8.758807643801600970e-03
4.001168569329804825e+01,3.012019235778026337e-03,8.750233311023607533e-03
4.101195985802150545e+01,3.008858223645158921e-03,8.741663894615036776e-03
4.201223402274495555e+01,3.005699093768943696e-03,8.733099396192867819e-03
4.301250818746840565e+01,3.002541846625990298e-03,8.724539817373429262e-03
4.401278235219186286e+01,2.999386482692653361e-03,8.715985159772295099e-03
4.501305651691531295e+01,2.996233002445068509e-03,8.707435425004367985e-03
4.601333068163876305e+01,2.993081406359118530e-03,8.698890614683813319e-03
4.701360484636221315e+01,2.989931694910442483e-03,8.690350730424062711e-03
4.801387901108567036e+01,2.986783868574437433e-03,8.681815773837829597e-03
4.901415317580912046e+01,2.983637927826261922e-03,8.673285746537104032e-03
5.001442734053257055e+01,2.980493873140808211e-03,8.664760650133119732e-03
5.101470150525602065e+01,2.977351704992738709e-03,8.656240486236380094e-03
5.201497566997947786e+01,2.974211423856435235e-03,8.647725256456594012e-03
5.301524983470292796e+01,2.971073030206072309e-03,8.639214962402816389e-03
