# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,2.179999999999999646e-03,1.055932450784521359e-01,0.000000000000000000e+00
6.556016668648374530e-04,2.179999204346340369e-03,1.055932072121441995e-01,0.000000000000000000e+00
1.001103745302606818e+00,2.178785187614465553e-03,1.055354296893973309e-01,0.000000000000000000e+00
2.001551888938348789e+00,2.177571472229921940e-03,1.054776650871784016e-01,0.000000000000000000e+00
3.002000032574090760e+00,2.176358058251844953e-03,1.054199134093081885e-01,0.000000000000000000e+00
4.002448176209832731e+00,2.175144945739407309e-03,1.053621746596089676e-01,0.000000000000000000e+00
5.002896319845574702e+00,2.173932134751805148e-03,1.053044488419045549e-01,0.000000000000000000e+00
6.003344463481316673e+00,2.172719625348266698e-03,1.052467359600201269e-01,0.000000000000000000e+00
7.003792607117058644e+00,2.171507417588036237e-03,1.051890360177818173e-01,0.000000000000000000e+00
8.004240750752799727e+00,2.170295511530396636e-03,1.051313490190176336e-01,0.000000000000000000e+00
9.004688894388541698e+00,2.169083907234642047e-03,1.050736749675564297e-01,0.000000000000000000e+00
1.000513703802428367e+01,2.167872604760093507e-03,1.050160138672280863e-01,0.000000000000000000e+00
1.100558518166002564e+01,2.166661604166099375e-03,1.049583657218641219e-01,0.000000000000000000e+00
1.200603332529576761e+01,2.165450905512040104e-03,1.049007305352974567e-01,0.000000000000000000e+00
1.300648146893150958e+01,2.164240508857303950e-03,1.048431083113618850e-01,0.000000000000000000e+00
1.400692961256725155e+01,2.163030414261332083e-03,1.047854990538932135e-01,0.000000000000000000e+00
1.500737775620299352e+01,2.161820621783561765e-03,1.047279027667277485e-01,0.000000000000000000e+00
1.600782589983873549e+01,2.160611131483473196e-03,1.046703194537034476e-01,0.000000000000000000e+00
1.700827404347447924e+01,2.159401943420569559e-03,1.046127491186597397e-01,0.000000000000000000e+00
1.800872218711021944e+01,2.158193057654370951e-03,1.045551917654368307e-01,0.000000000000000000e+00
1.900917033074596318e+01,2.156984474244426960e-03,1.044976473978764808e-01,0.000000000000000000e+00
2.000961847438170338e+01,2.155776193250321434e-03,1.044401160198221712e-01,0.000000000000000000e+00
2.101006661801744713e+01,2.154568214731652533e-03,1.043825976351180351e-01,0.000000000000000000e+00
2.201051476165318732e+01,2.153360538748043135e-03,1.043250922476095799e-01,0.000000000000000000e+00
2.301096290528893107e+01,2.152153165359148648e-03,1.042675998611439642e-01,0.000000000000000000e+00
2.401141104892467126e+01,2.150946094624645727e-03,1.042101204795693875e-01,0.000000000000000000e+00
2.501185919256041501e+01,2.149739326604227074e-03,1.041526541067349099e-01,0.000000000000000000e+00
2.601230733619615521e+01,2.148532861357634830e-03,1.040952007464921308e-01,0.000000000000000000e+00
2.701275547983189895e+01,2.147326698944623281e-03,1.040377604026930941e-01,0.000000000000000000e+00
2.801320362346763915e+01,2.146120839424961024e-03,1.039803330791908287e-01,0.000000000000000000e+00
2.901365176710338289e+01,2.144915282858455251e-03,1.039229187798402648e-01,0.000000000000000000e+00
3.001409991073912309e+01,2.143710029304936576e-03,1.038655175084973736e-01,0.000000000000000000e+00
3.101454805437486684e+01,2.142505078824254259e-03,1.038081292690192781e-01,0.000000000000000000e+00
3.201499619801060703e+01,2.141300431476289221e-03,1.037507540652646693e-01,0.000000000000000000e+00
3.301544434164635078e+01,2.140096087320947534e-03,1.036933919010933763e-01,0.000000000000000000e+00
3.401589248528209453e+01,2.138892046418160858e-03,1.036360427803667550e-01,0.000000000000000000e+00
3.501634062891783117e+01,2.137688308827883406e-03,1.035787067069470768e-01,0.000000000000000000e+00
3.601678877255357492e+01,2.136484874610087605e-03,1.035213836846977792e-01,0.000000000000000000e+00
3.701723691618931866e+01,2.135281743824793584e-03,1.034640737174846586e-01,0.000000000000000000e+00
3.801768505982506241e+01,2.134078916532031016e-03,1.034067768091738310e-01,0.000000000000000000e+00
3.901813320346079905e+01,2.132876392791850390e-03,1.033494929636327442e-01,0.000000000000000000e+00
4.001858134709654280e+01,2.131674172664335155e-03,1.032922221847304006e-01,0.000000000000000000e+00
4.101902949073228655e+01,2.130472256209594347e-03,1.032349644763370100e-01,0.000000000000000000e+00
4.201947763436803029e+01,2.129270643487762155e-03,1.031777198423242531e-01,0.000000000000000000e+00
4.301992577800376694e+01,2.128069334558994451e-03,1.031204882865647127e-01,0.000000000000000000e+00
4.402037392163951068e+01,2.126868329483474866e-03,1.030632698129326369e-01,0.000000000000000000e+00
4.502082206527525443e+01,2.125667628321412182e-03,1.030060644253034396e-01,0.000000000000000000e+00
4.602127020891099818e+01,2.124467231133045104e-03,1.029488721275539226e-01,0.000000000000000000e+00
4.702171835254673482e+01,2.123267137978630554e-03,1.028916929235620115e-01,0.000000000000000000e+00
4.802216649618247857e+01,2.122067348918457545e-03,1.028345268172072002e-01,0.000000000000000000e+00
4.902261463981822232e+01,2.120867864012828969e-03,1.027773738123697184e-01,0.000000000000000000e+00
5.002306278345395896e+01,2.119668683322088482e-03,1.027202339129317937e-01,0.000000000000000000e+00
5.102351092708970270e+01,2.118469806906597957e-03,1.026631071227766673e-01,0.000000000000000000e+00
5.202395907072544645e+01,2.117271234826735744e-03,1.026059934457884681e-01,0.000000000000000000e+00
5.302440721436119020e+01,2.116072967142932672e-03,1.025488928858537124e-01,0.000000000000000000e+00
5.402485535799692684e+01,2.114875003915605688e-03,1.024918054468586803e-01,0.000000000000000000e+00
5.502530350163267059e+01,2.113677345205228555e-03,1.024347311326921917e-01,0.000000000000000000e+00
5.602575164526841434e+01,2.112479991072289346e-03,1.023776699472439267e-01,0.000000000000000000e+00
