# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m
0.000000000000000000e+00,2.120000000000000356e-03,2.370675277654342092e-02
6.500003020722175786e-04,2.119999401986299731e-03,2.370674641964743215e-02
1.001000465191214994e+00,2.119079142692192538e-03,2.369696392453660497e-02
2.001350930080358026e+00,2.118159050887079373e-03,2.368718296431485126e-02
3.001701394969500836e+00,2.117239126597248670e-03,2.367740353938645181e-02
4.002051859858643645e+00,2.116319369848998402e-03,2.366762565015582270e-02
5.002402324747786899e+00,2.115399780668635217e-03,2.365784929702751879e-02
6.002752789636929265e+00,2.114480359082480943e-03,2.364807448040622331e-02
7.003103254526072519e+00,2.113561105116868247e-03,2.363830120069676521e-02
8.003453719415215772e+00,2.112642018798125028e-03,2.362852945830393875e-02
9.003804184304357250e+00,2.111723100152610409e-03,2.361875925363288165e-02
1.000415464919350050e+01,2.110804349206680478e-03,2.360899058708871082e-02
1.100450511408264376e+01,2.109885765986702164e-03,2.359922345907666807e-02
1.200485557897178701e+01,2.108967350519056275e-03,2.358945787000217217e-02
1.300520604386092849e+01,2.108049102830133158e-03,2.357969382027073901e-02
1.400555650875007174e+01,2.107131022946334437e-03,2.356993131028801980e-02
1.500590697363921500e+01,2.106213110894060436e-03,2.356017034045967615e-02
1.600625743852835825e+01,2.105295366699750943e-03,2.355041091119179295e-02
1.700660790341749973e+01,2.104377790389827529e-03,2.354065302289028508e-02
1.800695836830664476e+01,2.103460381990732153e-03,2.353089667596126866e-02
1.900730883319578624e+01,2.102543141528915444e-03,2.352114187081100205e-02
2.000765929808492771e+01,2.101626069030837138e-03,2.351138860784583728e-02
2.100800976297407274e+01,2.100709164522971285e-03,2.350163688747229640e-02
2.200836022786321422e+01,2.099792428031802775e-03,2.349188671009700899e-02
2.300871069275235925e+01,2.098875859583819534e-03,2.348213807612668444e-02
2.400906115764150073e+01,2.097959459205532042e-03,2.347239098596825072e-02
2.500941162253064221e+01,2.097043226923444702e-03,2.346264544002862537e-02
2.600976208741978724e+01,2.096127162764082740e-03,2.345290143871491678e-02
2.701011255230892871e+01,2.095211266753980919e-03,2.344315898243437557e-02
2.801046301719807374e+01,2.094295538919684410e-03,2.343341807159438073e-02
2.901081348208721522e+01,2.093379979287746193e-03,2.342367870660237023e-02
3.001116394697635670e+01,2.092464587884730956e-03,2.341394088786595551e-02
3.101151441186550173e+01,2.091549364737215096e-03,2.340420461579288680e-02
3.201186487675464321e+01,2.090634309871780647e-03,2.339446989079095943e-02
3.301221534164378824e+01,2.089719423315026560e-03,2.338473671326818382e-02
3.401256580653292616e+01,2.088804705093555251e-03,2.337500508363262938e-02
3.501291627142207119e+01,2.087890155233990391e-03,2.336527500229257023e-02
3.601326673631121622e+01,2.086975773762950008e-03,2.335554646965626313e-02
3.701361720120036125e+01,2.086061560707075987e-03,2.334581948613222158e-02
3.801396766608949918e+01,2.085147516093013246e-03,2.333609405212902152e-02
3.901431813097864421e+01,2.084233639947420148e-03,2.332637016805534647e-02
4.001466859586778924e+01,2.083319932296959394e-03,2.331664783432000135e-02
4.101501906075692716e+01,2.082406393168313632e-03,2.330692705133196804e-02
4.201536952564607219e+01,2.081493022588178522e-03,2.329720781950039843e-02
4.301571999053521722e+01,2.080579820583247121e-03,2.328749013923445826e-02
4.401607045542435515e+01,2.079666787180228966e-03,2.327777401094343473e-02
4.501642092031350018e+01,2.078753922405843571e-03,2.326805943503680932e-02
4.601677138520264521e+01,2.077841226286820855e-03,2.325834641192412594e-02
4.701712185009178313e+01,2.076928698849901580e-03,2.324863494201510200e-02
4.801747231498092816e+01,2.076016340121837785e-03,2.323892502571955551e-02
4.901782277987007319e+01,2.075104150129388012e-03,2.322921666344741551e-02
5.001817324475921822e+01,2.074192128899326852e-03,2.321950985560875327e-02
5.101852370964835615e+01,2.073280276458434965e-03,2.320980460261376499e-02
5.201887417453750118e+01,2.072368592833507325e-03,2.320010090487279603e-02
5.301922463942664621e+01,2.071457078051338035e-03,2.319039876279618134e-02
5.401957510431578413e+01,2.070545732138756763e-03,2.318069817679464448e-02
5.501992556920492916e+01,2.069634555122576696e-03,2.317099914727878754e-02
5.602027603409407419e+01,2.068723547029634440e-03,2.316130167465943121e-02
5.702062649898321212e+01,2.067812707886773106e-03,2.315160575934750026e-02
5.802097696387235715e+01,2.066902037720851418e-03,2.314191140175407557e-02
5.902132742876150218e+01,2.065991536558732435e-03,2.313221860229034560e-02
